Rosenborg , Olympiacos,group,"Lerkendal Stadion, Trondheim",5,1,1997-10-01 20:45:00+02:00
Rosenborg , Porto,group,"Lerkendal Stadion, Trondheim",2,0,1997-10-22 20:45:00+02:00
Real Madrid , Olympiacos,group,"Santiago Bernabéu, Madrid",5,1,1997-10-22 20:45:00+02:00
Porto , Rosenborg,group,"Estádio das Antas, Porto",1,1,1997-11-05 20:45:00+01:00
Olympiacos , Real Madrid,group,"Olympic Stadium, Athens",0,0,1997-11-05 20:45:00+01:00
Rosenborg , Real Madrid,group,"Lerkendal Stadion, Trondheim",2,0,1997-11-27 20:45:00+01:00
Porto , Olympiacos,group,"Estadio das Antas, Porto",2,1,1997-11-27 20:45:00+01:00
Real Madrid , Porto,group,"Santiago Bernabéu, Madrid",4,0,1997-12-10 20:45:00+01:00
Olympiacos , Rosenborg,group,"Olympic Stadium, Athens",2,2,1997-12-10 20:45:00+01:00
Bayern Munich , Beşiktaş,group,"Olympiastadion, Munich",2,0,1997-09-17 20:45:00+02:00
Paris Saint-Germain , IFK Göteborg,group,"Parc des Princes, Paris",3,0,1997-09-17 20:45:00+02:00
IFK Göteborg , Bayern Munich,group,"Ullevi, Gothenburg",1,3,1997-10-01 20:45:00+02:00
Beşiktaş , Paris Saint-Germain,group,"BJK İnönü Stadium, Istanbul",3,1,1997-10-01 20:45:00+02:00
Beşiktaş , IFK Göteborg,group,"BJK İnönü Stadium, Istanbul",1,0,1997-10-22 20:45:00+02:00
Bayern Munich , Paris Saint-Germain,group,"Olympiastadion, Munich",5,1,1997-10-22 20:45:00+02:00
IFK Göteborg , Beşiktaş,group,"Ullevi, Gothenburg",2,1,1997-11-05 20:45:00+01:00
Paris Saint-Germain , Bayern Munich,group,"Parc des Princes, Paris",3,1,1997-11-05 20:45:00+01:00
Beşiktaş , Bayern Munich,group,"İnönü, Istanbul",0,2,1997-11-26 20:45:00+01:00
IFK Göteborg , Paris Saint-Germain,group,"Ullevi, Gothenburg",0,1,1997-11-26 20:45:00+01:00
Bayern Munich , IFK Göteborg,group,"Olympiastadion, Munich",0,1,1997-12-10 20:45:00+01:00
Paris Saint-Germain , Beşiktaş,group,"Parc des Princes, Paris",2,1,1997-12-10 20:45:00+01:00
Sporting CP , Monaco,group,"José Alvalade, Lisbon",3,0,1997-09-17 19:45:00+02:00
